Model_y,Make_y,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
Defender 90,Land Rover,2023,ICE,4.0,2.0,Automatic (S8),45099,5675.0,19.0,0.0,0.0,20.7578,0.0,0.0,0.0,17.8574,22.3491,30.5805
Sportage FWD,Kia,2023,ICE,4.0,2.5,Automatic (S8),45101,4119.444444444444,28.0,0.0,0.0,31.7208,0.0,0.0,0.0,24.8603,32.1057,45.68710000000001
Sportage AWD,Kia,2023,ICE,4.0,2.5,Automatic (S8),45102,4119.444444444444,25.0,0.0,0.0,28.439900000000005,0.0,0.0,0.0,22.6477,28.956499999999995,40.49
Discovery,Land Rover,2023,ICE,4.0,2.0,Automatic (S8),45103,5250.0,21.0,0.0,0.0,22.2428,0.0,0.0,0.0,19.3318,24.3528,33.7329
Discovery MHEV,Land Rover,2023,HEV,6.0,3.0,Automatic (S8),45104,5250.0,22.0,0.0,0.0,25.217,0.0,0.0,0.0,19.4394,24.4829,35.5392
Defender 110,Land Rover,2023,ICE,4.0,2.0,Automatic (S8),45105,5675.0,18.0,0.0,0.0,20.1674,0.0,0.0,0.0,16.6221,20.6902,29.455400000000004
Defender 110 MHEV,Land Rover,2023,HEV,6.0,3.0,Automatic (S8),45106,5675.0,20.0,0.0,0.0,22.6469,0.0,0.0,0.0,18.2647,22.9121,31.552100000000003
Defender 90 MHEV,Land Rover,2023,HEV,6.0,3.0,Automatic (S8),45107,5675.0,20.0,0.0,0.0,22.6469,0.0,0.0,0.0,18.2647,22.9121,31.552100000000003
Defender 90,Land Rover,2023,ICE,8.0,5.0,Automatic (S8),45108,5675.0,16.0,0.0,0.0,19.0116,0.0,0.0,0.0,14.8182,18.3475,26.2277
Defender 110,Land Rover,2023,ICE,8.0,5.0,Automatic (S8),45109,5675.0,16.0,0.0,0.0,18.6021,0.0,0.0,0.0,14.2845,17.6252,25.5562
Discovery Sport,Land Rover,2023,ICE,4.0,2.0,Automatic (S9),45158,5250.0,20.0,0.0,0.0,23.409000000000002,0.0,0.0,0.0,18.5255,23.2538,34.2146
F-Type R AWD Coupe,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45180,4375.0,18.0,0.0,0.0,24.0365,0.0,0.0,0.0,15.5008,19.2287,33.7286
F-Type R AWD Convertible,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45181,4375.0,18.0,0.0,0.0,24.0365,0.0,0.0,0.0,15.5008,19.2287,33.7286
F-Type P450 RWD Coupe,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45182,4375.0,19.0,0.0,0.0,24.2996,0.0,0.0,0.0,16.6294,20.7335,34.0972
F-Type P450 RWD Convertible,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45183,4375.0,19.0,0.0,0.0,24.2996,0.0,0.0,0.0,16.6294,20.7335,34.0972
F-Type P450 AWD R-Dynamic Coupe,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45184,4375.0,18.0,0.0,0.0,24.0365,0.0,0.0,0.0,15.5008,19.2287,33.7286
F-Type P450 AWD R-Dynamic Convertible,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45185,4375.0,18.0,0.0,0.0,24.0365,0.0,0.0,0.0,15.5008,19.2287,33.7286
G70 AWD,Genesis,2023,ICE,6.0,3.3,Automatic (S8),45186,4211.538461538462,20.0,0.0,0.0,25.7441,0.0,0.0,0.0,17.4478,21.1738,32.5675
G70 RWD,Genesis,2023,ICE,6.0,3.3,Automatic (S8),45187,4211.538461538462,21.0,0.0,0.0,26.508,0.0,0.0,0.0,17.5272,21.3151,33.9222
G70 RWD,Genesis,2023,ICE,4.0,2.0,Automatic (S8),45188,4211.538461538462,25.0,0.0,0.0,31.3199,0.0,0.0,0.0,21.2129,26.9477,45.0455
G70 AWD,Genesis,2023,ICE,4.0,2.0,Automatic (S8),45202,4211.538461538462,23.0,0.0,0.0,27.6779,0.0,0.0,0.0,19.8767,25.1,39.3
Odyssey,Honda,2023,ICE,6.0,3.5,Automatic (S10),45203,4875.0,22.0,0.0,0.0,27.7882,0.0,0.0,0.0,19.4381,24.4983,39.4719
GV70 AWD,Genesis,2023,ICE,4.0,2.5,Automatic (S8),45204,4650.0,22.0,0.0,0.0,25.6735,0.0,0.0,0.0,19.4394,24.5,36.2
GV70 AWD,Genesis,2023,ICE,6.0,3.5,Automatic (S8),45206,4650.0,21.0,0.0,0.0,24.4556,0.0,0.0,0.0,18.5384,23.2713,34.3374
Sportage Hybrid AWD,Kia,2023,HEV,4.0,1.6,Automatic (AM-S6),45207,4119.444444444444,38.0,0.0,0.0,37.9799,0.0,0.0,0.0,38.2202,52.1815,49.903600000000004
Sportage Hybrid FWD,Kia,2023,HEV,4.0,1.6,Automatic (AM-S6),45208,4119.444444444444,43.0,0.0,0.0,44.31210000000001,0.0,0.0,0.0,42.2521,57.70000000000001,55.6
GV80 AWD,Genesis,2023,ICE,4.0,2.5,Automatic (S8),45209,5062.5,22.0,0.0,0.0,24.445,0.0,0.0,0.0,20.4005,25.8216,36.452
GV80 AWD,Genesis,2023,ICE,6.0,3.5,Automatic (S8),45210,5062.5,20.0,0.0,0.0,22.7134,0.0,0.0,0.0,18.1909,22.8,31.7
Cooper Convertible,MINI,2023,ICE,3.0,1.5,Automatic (AM-S7),45221,3530.2083333333335,32.0,0.0,0.0,38.1744,0.0,0.0,0.0,28.732700000000005,37.7728,56.2715
Cooper Convertible,MINI,2023,ICE,3.0,1.5,Manual 6-spd,45222,3530.2083333333335,31.0,0.0,0.0,37.3544,0.0,0.0,0.0,27.2824,35.6267,54.8991
Cooper Hardtop 2 door,MINI,2023,ICE,3.0,1.5,Automatic (AM-S7),45227,3530.2083333333335,32.0,0.0,0.0,38.1744,0.0,0.0,0.0,28.732700000000005,37.7728,56.2715
Cooper Hardtop 2 door,MINI,2023,ICE,3.0,1.5,Manual 6-spd,45228,3530.2083333333335,31.0,0.0,0.0,37.3544,0.0,0.0,0.0,27.2824,35.6267,54.8991
Cooper Hardtop 4 door,MINI,2023,ICE,3.0,1.5,Automatic (AM-S7),45229,3530.2083333333335,32.0,0.0,0.0,38.1744,0.0,0.0,0.0,28.732700000000005,37.7728,56.2715
Cooper Hardtop 4 door,MINI,2023,ICE,3.0,1.5,Manual 6-spd,45230,3530.2083333333335,31.0,0.0,0.0,37.3544,0.0,0.0,0.0,27.2824,35.6267,54.8991
X2 M35i,BMW,2023,ICE,4.0,2.0,Automatic (S8),45231,3937.5,27.0,0.0,0.0,30.9548,0.0,0.0,0.0,23.7549,30.5245,44.4629
Stinger AWD,Kia,2023,ICE,4.0,2.5,Automatic (S8),45235,4250.0,24.0,0.0,0.0,28.8967,0.0,0.0,0.0,20.5219,25.4537,39.014
Stinger RWD,Kia,2023,ICE,4.0,2.5,Automatic (S8),45236,4250.0,25.0,0.0,0.0,31.5813,0.0,0.0,0.0,21.6699,27.6387,41.0734
Stinger AWD,Kia,2023,ICE,6.0,3.3,Automatic (S8),45237,4250.0,20.0,0.0,0.0,24.3844,0.0,0.0,0.0,17.2255,20.9882,30.7697
Stinger RWD,Kia,2023,ICE,6.0,3.3,Automatic (S8),45238,4250.0,20.0,0.0,0.0,25.2069,0.0,0.0,0.0,17.7679,22.0791,32.3866
G90 AWD,Genesis,2023,ICE,6.0,3.5,Automatic (S8),45243,5428.571428571428,21.0,0.0,0.0,25.6084,0.0,0.0,0.0,18.0431,22.6,36.1
Seltos FWD,Kia,2023,ICE,4.0,2.0,Automatic (AV-S8),45244,3458.3333333333335,31.0,0.0,0.0,34.5703,0.0,0.0,0.0,29.3533,38.7,50.3
E-Pace,Jaguar,2023,ICE,4.0,2.0,Automatic (S9),45247,4500.0,23.0,0.0,0.0,25.6807,0.0,0.0,0.0,20.4918,25.9478,37.3858
Seltos AWD,Kia,2023,ICE,4.0,1.6,Automatic (AM-S7),45248,3458.3333333333335,27.0,0.0,0.0,29.9076,0.0,0.0,0.0,25.0648,32.4,42.8
Seltos AWD,Kia,2023,ICE,4.0,2.0,Automatic (AV-S8),45249,3458.3333333333335,29.0,0.0,0.0,30.9153,0.0,0.0,0.0,26.8552,35.0,44.4
CX-50 4WD,Mazda,2023,ICE,4.0,2.5,Automatic (S6),45250,4138.888888888889,27.0,0.0,0.0,30.2457,0.0,0.0,0.0,24.2067,31.1688,43.3355
Cooper S Convertible,MINI,2023,ICE,4.0,2.0,Automatic (AM-S7),45260,3530.2083333333335,30.0,0.0,0.0,36.0296,0.0,0.0,0.0,26.5817,34.6,52.6992
Cooper S Convertible,MINI,2023,ICE,4.0,2.0,Manual 6-spd,45261,3530.2083333333335,27.0,0.0,0.0,32.9713,0.0,0.0,0.0,23.244700000000005,29.8,47.70000000000001
Cooper S Hardtop 2 door,MINI,2023,ICE,4.0,2.0,Automatic (AM-S7),45267,3530.2083333333335,31.0,0.0,0.0,37.8335,0.0,0.0,0.0,27.7043,36.2481,55.69989999999999
Cooper S Hardtop 2 door,MINI,2023,ICE,4.0,2.0,Manual 6-spd,45268,3530.2083333333335,27.0,0.0,0.0,33.3751,0.0,0.0,0.0,22.929999999999996,29.3548,48.3537
Cooper S Hardtop 4 door,MINI,2023,ICE,4.0,2.0,Automatic (AM-S7),45269,3530.2083333333335,31.0,0.0,0.0,37.8335,0.0,0.0,0.0,27.7043,36.2481,55.69989999999999
Cooper S Hardtop 4 door,MINI,2023,ICE,4.0,2.0,Manual 6-spd,45270,3530.2083333333335,27.0,0.0,0.0,33.3751,0.0,0.0,0.0,22.929999999999996,29.3548,48.3537
X2 xDrive28i,BMW,2023,ICE,4.0,2.0,Automatic (S8),45274,3937.5,27.0,0.0,0.0,30.9548,0.0,0.0,0.0,23.7549,30.5245,44.4629
X2 sDrive28i,BMW,2023,ICE,4.0,2.0,Automatic (S8),45275,3937.5,27.0,0.0,0.0,31.7437,0.0,0.0,0.0,23.7794,30.5594,45.7238
G90 MHEV,Genesis,2023,HEV,6.0,3.5,Automatic (S8),45283,5428.571428571428,20.0,0.0,0.0,24.4848,0.0,0.0,0.0,17.2531,22.7,35.0
BRZ,Subaru,2023,ICE,4.0,2.4,Manual 6-spd,45288,3208.3333333333335,22.0,0.0,0.0,26.8141,0.0,0.0,0.0,19.6187,24.7457,37.9587
BRZ,Subaru,2023,ICE,4.0,2.4,Automatic (S6),45289,3208.3333333333335,25.0,0.0,0.0,30.4299,0.0,0.0,0.0,21.2711,27.0287,43.6278
Corvette,Chevrolet,2023,ICE,8.0,6.2,Automatic (S8),45293,3937.5,19.0,0.0,0.0,24.0,0.0,0.0,0.0,15.6411,19.1153,34.4882
Elantra,Hyundai,2023,ICE,4.0,2.0,Automatic (AV-S1),45294,3339.7988505747126,34.0,0.0,0.0,39.723,0.0,0.0,0.0,30.2833,38.3118,59.2671
Elantra,Hyundai,2023,ICE,4.0,1.6,Automatic (AM-S7),45296,3339.7988505747126,31.0,0.0,0.0,35.5409,0.0,0.0,0.0,28.0454,35.6,51.9
Elantra Hybrid,Hyundai,2023,HEV,4.0,1.6,Automatic (AM-S6),45297,3339.7988505747126,50.0,0.0,0.0,52.0663,0.0,0.0,0.0,49.2526,68.3,67.4
Elantra Hybrid Blue,Hyundai,2023,HEV,4.0,1.6,Automatic (AM-S6),45298,3339.7988505747126,54.0,0.0,0.0,55.5898,0.0,0.0,0.0,52.7058,72.8,72.3
G80 AWD,Genesis,2023,ICE,4.0,2.5,Automatic (S8),45299,4666.666666666667,25.0,0.0,0.0,29.969,0.0,0.0,0.0,21.7782,27.736,42.7771
