level_0,Model,Make,Year,AdjWeight,match_index,baseModel,displ,cylinders,trany,comb08,combinedUF,combE,highway08,city08,UCity,UHighway,atvType,rangeHwyA,RangeHwy,Range,MFRCode,VehicleID
0.0,NSX,Acura,2000,3500.0,1872.0,nsx,3.0,6.0,Automatic 4-spd,18,0.0,0.0,22,15,19.2343,30.1499,ICE,0.0,0.0,0,,0
1.0,NSX,Acura,2000,3500.0,1872.0,nsx,3.2,6.0,Manual 6-spd,18,0.0,0.0,22,15,19.0,30.4,ICE,0.0,0.0,0,,1
2.0,M Coupe,BMW,2000,3250.0,1736.0,m,3.2,6.0,Manual 5-spd,19,0.0,0.0,23,17,21.1,32.7,ICE,0.0,0.0,0,,2
3.0,TT Coupe,Audi,2000,3250.0,1736.0,tt coupe,1.8,4.0,Manual 5-spd,23,0.0,0.0,29,19,24.2,40.0469,ICE,0.0,0.0,0,,3
4.0,Z3 Coupe,BMW,2000,3312.5,1751.0,z3,2.8,6.0,Automatic 4-spd,19,0.0,0.0,24,17,20.9,33.6,ICE,0.0,0.0,0,,4
5.0,Z3 Coupe,BMW,2000,3312.5,1751.0,z3,2.8,6.0,Manual 5-spd,19,0.0,0.0,24,17,21.022,32.887,ICE,0.0,0.0,0,,5
6.0,Z3 Roadster,BMW,2000,3250.0,1752.0,z3,2.5,6.0,Automatic 4-spd,19,0.0,0.0,24,17,20.9,33.2,ICE,0.0,0.0,0,,6
7.0,Z3 Roadster,BMW,2000,3250.0,1752.0,z3,2.5,6.0,Manual 5-spd,20,0.0,0.0,25,17,21.9,34.4,ICE,0.0,0.0,0,,7
8.0,Z3 Roadster,BMW,2000,3250.0,1752.0,z3,2.8,6.0,Automatic 4-spd,19,0.0,0.0,24,17,21.0,33.0,ICE,0.0,0.0,0,,8
9.0,Z3 Roadster,BMW,2000,3250.0,1752.0,z3,2.8,6.0,Manual 5-spd,19,0.0,0.0,24,17,21.022,32.887,ICE,0.0,0.0,0,,9
10.0,M Roadster,BMW,2000,3250.0,1752.0,m,3.2,6.0,Manual 5-spd,19,0.0,0.0,23,17,21.1,32.7,ICE,0.0,0.0,0,,10
11.0,Z8,BMW,2000,3875.0,1753.0,z8,4.9,8.0,Manual 6-spd,15,0.0,0.0,19,12,14.9535,26.3337,ICE,0.0,0.0,0,,11
12.0,Corvette,Chevrolet,2000,3500.0,1839.0,corvette,5.7,8.0,Automatic 4-spd,18,0.0,0.0,23,15,18.4,32.2,ICE,0.0,0.0,0,,12
13.0,Corvette,Chevrolet,2000,3500.0,1839.0,corvette,5.7,8.0,Manual 6-spd,19,0.0,0.0,25,16,20.4,34.9,ICE,0.0,0.0,0,,13
14.0,Viper Convertible,Dodge,2000,3750.0,1776.0,viper,8.0,10.0,Manual 6-spd,14,0.0,0.0,19,11,13.3853,26.7962,ICE,0.0,0.0,0,,14
15.0,9-3 Viggen Convertible,Saab,2000,3750.0,1776.0,9-3,2.3,4.0,Manual 5-spd,21,0.0,0.0,27,18,22.6,37.4,ICE,0.0,0.0,0,,15
16.0,Viper Coupe,Dodge,2000,3750.0,1777.0,viper,8.0,10.0,Manual 6-spd,14,0.0,0.0,19,11,13.3853,26.7962,ICE,0.0,0.0,0,,16
17.0,360 Modena/Spider,Ferrari,2000,3625.0,1782.0,360 modena/spider,3.6,8.0,Manual 6-spd,11,0.0,0.0,15,10,11.9,20.2,ICE,0.0,0.0,0,,17
