Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
Q7,Audi,2017,ICE,6.0,3.0,Automatic (S8),37221,5062.5,21.0,0.0,0.0,25.0209,0.0,0.0,0.0,18.7066,23.5,35.2
Elantra SE,Hyundai,2017,ICE,4.0,2.0,Automatic (S6),37225,3198.660714285714,33.0,0.0,0.0,38.3294,0.0,0.0,0.0,29.0775,38.2873,56.5318
Elantra,Hyundai,2017,ICE,4.0,2.0,Automatic (S6),37226,3198.660714285714,32.0,0.0,0.0,36.8668,0.0,0.0,0.0,28.1626,36.9258,54.0869
Elantra,Hyundai,2017,ICE,4.0,2.0,Manual 6-spd,37227,3198.660714285714,29.0,0.0,0.0,35.6666,0.0,0.0,0.0,25.7569,33.4,52.1
Sportage FWD,Kia,2017,ICE,4.0,2.4,Automatic (S6),37262,3840.909090909091,25.0,0.0,0.0,28.9611,0.0,0.0,0.0,22.399,28.6064,41.3075
Sportage FE FWD,Kia,2017,ICE,4.0,2.4,Automatic (S6),37263,3840.909090909091,26.0,0.0,0.0,29.8882,0.0,0.0,0.0,22.7844,29.1492,42.7694
Sportage FWD,Kia,2017,ICE,4.0,2.0,Automatic (S6),37264,3840.909090909091,23.0,0.0,0.0,25.7105,0.0,0.0,0.0,20.6741,26.2,39.0
Sportage AWD,Kia,2017,ICE,4.0,2.4,Automatic (S6),37265,3840.909090909091,23.0,0.0,0.0,24.9601,0.0,0.0,0.0,20.8906,26.5,35.1071
Sportage FE AWD,Kia,2017,ICE,4.0,2.4,Automatic (S6),37266,3840.909090909091,22.0,0.0,0.0,24.9358,0.0,0.0,0.0,20.5865,26.0787,35.0699
Sportage AWD,Kia,2017,ICE,4.0,2.0,Automatic (S6),37267,3840.909090909091,21.0,0.0,0.0,23.1173,0.0,0.0,0.0,19.7311,24.9,35.1
XT5,Cadillac,2017,ICE,6.0,3.6,Automatic (S8),37270,4562.5,22.0,0.0,0.0,27.3527,0.0,0.0,0.0,19.4121,24.4627,38.7941
XT5 AWD,Cadillac,2017,ICE,6.0,3.6,Automatic (S8),37271,4562.5,21.0,0.0,0.0,26.3766,0.0,0.0,0.0,18.1875,22.7954,37.2825
Mirage,Mitsubishi,2017,ICE,3.0,1.2,Manual 5-spd,37290,2455.357142857143,36.0,0.0,0.0,40.6328,0.0,0.0,0.0,33.2597,44.6614,60.4352
Mirage,Mitsubishi,2017,ICE,3.0,1.2,Automatic (variable gear ratios),37291,2455.357142857143,39.0,0.0,0.0,42.867,0.0,0.0,0.0,36.788,50.2386,64.2847
