Unnamed: 0,alph_index,Material_x,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2,"CO2 (VOC, CO, CO2)",GHGs,Material_y,HEV: Conventional Material,HEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material,FCV: Conventional Material,FCV: Lightweight Material
0,d,Average Steel,1.1828790536835094,8.551237211828175,1.1125270633455326,0.6509288010787266,0.314065799972503,4.186702378473481,0.0037140147782043,0.0108610943662577,1.8436448796734797,0.0104800128776692,1036.9028209292792,1054.0271191223228,1111.8287800521962,    Steel,0.3145,0.3145,0.3444,0.3444,0.243,0.243,0.3057,0.3057
1,f,Stainless Steel,0.1912368313429186,2.616583646520328,0.3659603540954527,0.5045984236257826,0.2565837823004999,0.4741362116557464,0.0018275902922601,0.0066481539658634,0.8794554075960254,0.0084552066880938,375.58381978429577,380.291615543656,408.8076581158672,    Stainless Steel,0.0413,0.0413,0.0534,0.0534,0.0444,0.0444,0.0407,0.0407
2,j,Average Wrought Aluminum,1.1169109994386974,2.891769918655416,6.358663880387968,1.4598091430687257,1.504802263813398,18.232097912310586,0.0293010432006529,0.0751665549714025,12.450700486402692,0.111367741829648,6497.734622884506,6505.759872038263,7139.863277638762,    Wrought Aluminum,0.1718,0.1718,0.1439,0.1439,0.1214,0.1214,0.1709,0.1709
3,n,Average Cast Aluminum,0.1901803931527923,0.6324492562346617,1.278121335410929,0.4213105887862419,0.2549950888182717,3.1455955446326227,0.0064785973092462,0.0177406400495524,2.732266810904234,0.0246410315048762,1334.0813679688072,1335.667945692026,1462.123863405161,    Cast Aluminum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ac,Copper,0.4730800092905114,1.361152422259786,2.0230057692539445,0.3662744661474879,0.2425998498122661,2.1394760071290326,0.0106500649163526,0.0337574623082095,4.203169163525115,0.4608221197675139,1782.0037543739084,1785.6171408759385,2036.6760206455183,    Copper,0.1386,0.1386,0.0867,0.0867,0.0744,0.0744,0.1425,0.1425
5,ak,High-Density Polyethylene,0.4052659719805561,0.7706760342548663,1.0999958782347723,0.0840396625141502,0.0620617622004243,0.5337592521212473,0.0055315498210108,0.0195428662434806,4.494051531192859,0.0185103615866573,817.5516258554752,820.0257671410246,959.0018314837292,    Plastic: Polyethylene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,al,Polyethylene Terephthalate,0.512242203529141,0.7638567081947112,1.1252934304399802,0.0894641328885263,0.0666755468620445,0.4519986248301634,0.0080220384026803,0.0218843510846014,4.163728005301893,0.024218143576006,969.8676739857495,972.6645084424832,1103.3551561967297,    Plastic: Polyethylene Terephthalate,0.0025,0.0025,0.0026,0.0026,0.0025,0.0025,0.0025,0.0025
7,am,Polypropylene,0.2610584194313519,0.5493062838723305,0.7913762694621962,0.07218939355027,0.0557580708789034,0.3520373415955239,0.005527734317992,0.0141158634654242,3.605366948214853,0.0138530542042486,668.3556327584906,670.0324604213273,781.2542792758899,    Plastic: Polypropylene,0.0089,0.0089,0.0056,0.0056,0.0076,0.0076,0.0093,0.0093
8,an,Average Plastic,0.4616416309713358,2.4636396851903606,1.9927666702353173,0.5061372341693685,0.1386334734296557,4.326873301075395,0.0125189281147541,0.0269226949825796,8.22770763049393,0.1105092547953333,1358.0798570436807,1363.390073917888,1638.744787865733,    Plastic: Polymer,0.0074,0.0074,0.0152,0.0152,0.008,0.008,0.0069,0.0069
9,ba,Thermal Insulation,0.1273606636323613,0.4905511546801943,1.8530259388997423,0.698146026175557,0.3655210804465648,0.7158409349268462,0.0060299081761824,0.0163590177342393,1.9667713992255824,0.0186631630160093,779.7880706276476,780.955877462847,844.6607086631399,    Thermal Insulation,0.005,0.005,0.0052,0.0052,0.0038,0.0038,0.0049,0.0049
10,bi,NMC(111): Coprecipitation,1.9137296511235065,7.209500291239816,12.652088272120473,7.587986193321681,1.8408357188380904,36.76589833175661,0.1155646885682421,0.2282055349991801,20.15694137637722,0.1857774726981861,9020.494091605731,9037.787763761777,9689.181866824423,    Active Material,0.1029,0.1029,0.156,0.156,0.2504,0.2504,0.1079,0.1079
