,alph_index,Material_x,     VOC,     CO,     NOx ,     PM10,     PM2.5,     SOx,     BC,     OC,     CH4,     N2O,     CO2,"     CO2 (VOC, CO, CO2)",     GHGs,Material_y,HEV: Conventional Material,HEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material,FCV: Conventional Material,FCV: Lightweight Material
0,d,Average Steel,1.1828790536835094,8.551237211828175,1.1125270633455326,0.6509288010787266,0.31406579997250306,4.186702378473481,0.003714014778204318,0.010861094366257734,1.8436448796734795,0.01048001287766925,1036.9028209292792,1054.0271191223228,1111.8287800521962,    Steel,0.237,0.237,0.237,0.237,0.237,0.237,0.237,0.237
1,g,Final Iron Product Mix,0.8456651585132509,0.47894913216119345,0.6326182517105903,0.4207487070572479,0.1924774103377057,1.461320034287942,0.0027981306141615383,0.007377872344975225,1.9295145325324694,0.007885481879632348,360.4794596985743,363.86775045981295,423.52002008242016,    Iron,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
2,j,Average Wrought Aluminum,1.1169109994386974,2.8917699186554158,6.358663880387968,1.4598091430687257,1.504802263813398,18.232097912310586,0.029301043200652906,0.07516655497140257,12.450700486402692,0.11136774182964806,6497.734622884506,6505.759872038263,7139.863277638762,    Aluminum,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
3,u,Average Nickel,2.226911308677524,5.531021719076632,5.936670471541615,0.6617502368774306,0.4612388868266487,13.888695176155165,0.046597422693428224,0.0944805435593277,23.801925830879764,0.21284097748750486,4935.134431491806,4950.766577295732,5718.169553910038,    Nickel,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.282
4,ab,Virgin Cobalt Metal,1.767509612852809,6.256022114113747,11.322795152721408,29.01830201811587,3.630861126505475,31.072769433434782,0.16358804779319303,0.1996932753655763,20.0775592375032,0.20577902650432797,8657.943828335872,8673.283458522872,9327.772398036148,    Cobalt,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
5,ac,Copper,0.47308000929051147,1.361152422259786,2.0230057692539445,0.3662744661474879,0.24259984981226615,2.1394760071290326,0.010650064916352633,0.03375746230820957,4.203169163525115,0.46082211976751397,1782.0037543739084,1785.6171408759385,2036.6760206455183,    Copper,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039
6,ag,Average Magnesium,0.555956371215481,2.2870943201971725,3.368154339507998,0.30749298421899046,0.21456678281132838,1.4887564974578387,0.02560615753413017,0.07141616668604356,9.434922110080576,0.09085292344996179,3862.137113706925,3867.463849757524,14523.755896739767,    Magnesium,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7,an,Average Plastic,0.46164163097133587,2.4636396851903606,1.9927666702353173,0.5061372341693685,0.1386334734296557,4.326873301075395,0.012518928114754134,0.026922694982579688,8.22770763049393,0.11050925479533333,1358.0798570436807,1363.390073917888,1638.744787865733,    Average Plastic,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225
8,ar,Rubber,2.8605108342511505,1.0519189126397173,2.244667859111735,0.31776509009102333,0.1863208827540678,1.2578711321446427,0.016810813305788992,0.02844365517843877,3.5441350126361453,0.04150903500645484,1643.6703930462527,1654.2386672471498,1771.1858571804692,    Rubber,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009,0.0010000000000000009
9,ax,Rare Earth (Ni-MH),5.852029779336779,35.80548127312219,15.665425566991285,34.77286693482952,5.234632887435639,28.392509089796697,0.09423098347102538,0.23609314232637527,54.47974249175873,5.418774175116785,17238.11080918334,17312.615391615276,20415.437067676572,    Rare Earth Metals,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063
