Unnamed: 0,alph_index,Material_x,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2,"CO2 (VOC, CO, CO2)",GHGs,Material_y,ICEV: Conventional Material,ICEV: Lightweight Material,HEV: Conventional Material,HEV: Lightweight Material,PHEV: Conventional Material,PHEV: Lightweight Material,EV: Conventional Material,EV: Lightweight Material,FCV: Conventional Material,FCV: Lightweight Material
0,d,Average Steel,1.1828790536835094,8.551237211828175,1.1125270633455326,0.6509288010787266,0.314065799972503,4.186702378473481,0.0037140147782043,0.0108610943662577,1.8436448796734797,0.0104800128776692,1036.9028209292792,1054.0271191223228,1111.8287800521962,Steel,0.5992263946573941,0.3070470648248672,0.5949827812318063,0.3322730581842413,0.592057801378528,0.343070917035716,0.596579315706115,0.2281421596877381,0.5385439492357259,0.2048889432953138
1,f,Stainless Steel,0.1912368313429186,2.616583646520328,0.3659603540954527,0.5045984236257826,0.2565837823004999,0.4741362116557464,0.0018275902922601,0.0066481539658634,0.8794554075960254,0.0084552066880938,375.58381978429577,380.291615543656,408.8076581158672,Stainless Steel,0.0,0.0103019058886445,0.0003293809670465,0.0084478189112403,0.0003891414693989,0.0082423522777787,0.0010432922117246,0.0007539068313312,0.0334751698665479,0.0272821754830941
2,g,Final Iron Product Mix,0.8456651585132509,0.4789491321611934,0.6326182517105903,0.4207487070572479,0.1924774103377057,1.461320034287942,0.0027981306141615,0.0073778723449752,1.9295145325324692,0.0078854818796323,360.4794596985743,363.86775045981295,423.52002008242016,Cast Iron,0.018931671144217,0.0351766947805044,0.0540314136125654,0.0333677277734569,0.0544397632232596,0.0344775791062965,0.0,0.028704,6.326837315824212e-05,0.0248880938808167
3,j,Average Wrought Aluminum,1.1169109994386974,2.891769918655416,6.358663880387968,1.4598091430687257,1.504802263813398,18.232097912310586,0.0293010432006529,0.0751665549714025,12.450700486402692,0.111367741829648,6497.734622884506,6505.759872038263,7139.863277638762,Wrought Aluminum,0.0464393038936151,0.0673565593282039,0.0270107918849175,0.0584524715257746,0.0256347568981085,0.0481692043068527,0.0303090560427524,0.0675673682287302,0.0380746922995696,0.0633604443237022
4,n,Average Cast Aluminum,0.1901803931527923,0.6324492562346617,1.278121335410929,0.4213105887862419,0.2549950888182717,3.1455955446326227,0.0064785973092462,0.0177406400495524,2.732266810904234,0.0246410315048762,1334.0813679688072,1335.667945692026,1462.123863405161,Cast Aluminum,0.0824142068358729,0.1407346202253153,0.0984589793043877,0.1433765078226519,0.1034259936529249,0.1516718208925289,0.1070356028055236,0.1648126961567976,0.0776470723833612,0.1297545212542022
5,u,Average Nickel,2.226911308677524,5.531021719076632,5.936670471541615,0.6617502368774306,0.4612388868266487,13.888695176155164,0.0465974226934282,0.0944805435593277,23.801925830879764,0.2128409774875048,4935.134431491806,4950.766577295732,5718.169553910038,Nickel,0.0,0.0,3.283030489682784e-05,3.1918792059759206e-05,3.8709643164689765e-05,3.393643581441365e-05,0.00012233843197,0.000125793932982,7.311118964518562e-05,7.740403399153931e-05
6,ac,Copper,0.4730800092905114,1.361152422259786,2.0230057692539445,0.3662744661474879,0.2425998498122661,2.1394760071290326,0.0106500649163526,0.0337574623082095,4.203169163525115,0.4608221197675139,1782.0037543739084,1785.6171408759385,2036.6760206455183,Copper/Brass,0.0237883248763337,0.0309026378384826,0.0386264378381426,0.0477695950813045,0.043507477892241,0.0500185389059751,0.0583003156867467,0.0760826126603769,0.0333405935402184,0.0428907207670341
7,ad,Zinc,0.1407199926561698,0.5540892243735022,0.9160718766902624,0.9475636387864216,0.4807304789988503,0.7401324169873381,0.0041015144953587,0.0186544914628196,2.455785279587481,0.0232537594654086,1155.8771899405222,1157.1864788892683,1236.7171565550318,Zinc,0.0,0.0,0.0001663689559593,0.0001641563761792,0.0002075421170127,0.0001931909572096,0.0006616832449955,0.000732862621988,0.0004168268353521,0.0004436020511531
8,ag,Average Magnesium,0.555956371215481,2.2870943201971725,3.368154339507998,0.3074929842189904,0.2145667828113283,1.488756497457839,0.0256061575341301,0.0714161666860435,9.434922110080576,0.0908529234499617,3862.137113706925,3867.463849757524,14523.755896739767,Magnesium,0.0002555593547288,0.0037996009612283,0.0002167930637183,0.003504548633093,0.0002058060275554,0.003224290894732,0.0002435043799869,0.0037754987813794,0.000235956584497,0.0042557019870078
9,ai,Glass,0.1112755712369822,0.4812070449157292,1.013502399415496,0.0596463220409476,0.0450482683274329,0.4178839574509354,0.00529396116589,0.0136140252916211,1.779072086338896,0.0165013624783487,731.9912533742951,733.094244737137,790.6154648666253,Glass,0.0235089119923517,0.0325076971127313,0.0199427998279036,0.0292045719424419,0.0189321020724522,0.0261525817017157,0.0223999745379678,0.0302039902510353,0.021705652625561,0.0340456158960629
10,aj,Fiber Glass,0.1273606636323613,0.4905511546801943,1.8530259388997423,0.698146026175557,0.3655210804465648,0.7158409349268462,0.0060299081761824,0.0163590177342393,1.9667713992255824,0.0186631630160093,779.7880706276476,780.955877462847,844.6607086631399,Silicone,0.0,0.0,2.125038497074222e-05,1.5593960298796047e-05,2.269991904827468e-05,1.571835023363184e-05,5.589065419953374e-05,4.038786596417474e-05,2.9541465745365184e-05,3.1439086179857984e-05
11,al,Polyethylene Terephthalate,0.512242203529141,0.7638567081947112,1.1252934304399802,0.0894641328885263,0.0666755468620445,0.4519986248301634,0.0080220384026803,0.0218843510846014,4.163728005301893,0.024218143576006,969.8676739857495,972.6645084424832,1103.3551561967297,PET,0.0,0.0,0.0005118263012011,0.0004895728213445,0.0006526007615191,0.0005869553153537,0.0020502554982195,0.0021756019518089,0.0012461520861671,0.0013261996939459
12,al,Polyethylene Terephthalate,0.512242203529141,0.7638567081947112,1.1252934304399802,0.0894641328885263,0.0666755468620445,0.4519986248301634,0.0080220384026803,0.0218843510846014,4.163728005301893,0.024218143576006,969.8676739857495,972.6645084424832,1103.3551561967297,Mica,0.0,0.0,2.337542346781644e-05,1.7153356328675652e-05,1.621422789162477e-05,1.1227393024022743e-05,4.657554516627812e-05,3.365655497014562e-05,2.110104696097513e-05,2.245649012846999e-05
