,Unnamed: 0,VehicleID_x,Year_x,MFRCode,Make,Model,Range,RangeHwy,atvType,UHighway,UCity,city08U,highway08U,VehicleID_y,Year_y,CurbWeight,embodied_emissions,usage_emissions,total_emissions
0,0,45105,2023,JLX,land rover,defender 110,0,0.0,ICE,29.4554,20.6902,16.6221,20.1674,236,2023.0,5635.0,8940697.137844313,29421786.163,38362483.30084431
1,1,45109,2023,JLX,land rover,defender 110,0,0.0,ICE,25.5562,17.6252,14.2845,18.6021,236,2023.0,5635.0,8940697.137844313,26391472.956,35332170.09384431
2,2,45158,2023,JLX,land rover,discovery sport,0,0.0,ICE,34.2146,23.2538,18.5255,23.409,238,2023.0,4345.0,7052856.621816067,33603139.485,40655996.10681607
3,3,45203,2023,HNX,honda,odyssey,0,0.0,ICE,39.4719,24.4983,19.4381,27.7882,167,2023.0,4592.0,7414326.860156359,38069363.65100001,45483690.511156365
4,4,45240,2023,BMX,mini,cooper countryman all4,0,0.0,ICE,44.5918,29.796,23.2419,31.0357,308,2023.0,3643.0,6025520.154954185,43610633.85800001,49636154.0129542
5,5,45242,2023,BMX,mini,jcw countryman all4,0,0.0,ICE,43.3,30.2,23.5267,30.2233,309,2023.0,3821.786516853933,6287163.8993235035,43105812.686000004,49392976.585323505
6,6,45252,2023,MTX,mitsubishi,eclipse cross 4wd,0,0.0,ICE,39.8092,31.6654,24.5536,26.383,253,2023.0,3525.4054054054054,5853427.255619617,40491787.634,46345214.88961962
7,7,45262,2023,BMX,mini,john cooper works convertible,0,0.0,ICE,46.9684,31.1554,24.1973,32.5181,310,2023.0,3144.0,5295262.466971166,45583358.90800001,50878621.37497117
8,8,45266,2023,BMX,bmw,840i xdrive convertible,0,0.0,ICE,40.8062,26.2538,20.713,28.6417,39,2023.0,4266.0,6937244.683237593,39721890.197000004,46659134.880237594
9,9,45288,2023,FJX,subaru,brz,0,0.0,ICE,37.9587,24.7457,19.6187,26.8141,383,2023.0,2868.0,4891352.403076751,37349368.514,42240720.91707675
10,10,45289,2023,FJX,subaru,brz,0,0.0,ICE,43.6278,27.0287,21.2711,30.4299,383,2023.0,2868.0,4891352.403076751,41677830.648,46569183.051076755
11,11,45293,2023,GMX,chevrolet,corvette,0,0.0,ICE,34.4882,19.1153,15.6411,24.0,69,2023.0,3693.0,6098692.267978535,32061823.779,38160516.04697853
