Model_y,Make_y,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway,battery_assembly,battery_manufacture,vehicle_manufacture,total_embodied,usage,total
Defender 90,Land Rover,2023,ICE,4.0,2.0,Automatic (S8),45099,5675.0,19.0,0.0,0.0,20.7578,0.0,0.0,0.0,17.8574,22.3491,30.5805,0.0,60000.0,8928648.102839816,10496848.102839818,81438901.28938928,91935749.3922291
Sportage FWD,Kia,2023,ICE,4.0,2.5,Automatic (S8),45101,4119.444444444444,28.0,0.0,0.0,31.7208,0.0,0.0,0.0,24.8603,32.1057,45.68710000000001,0.0,60000.0,6481245.783901836,8049445.783901836,55326657.60387936,63376103.387781195
Sportage AWD,Kia,2023,ICE,4.0,2.5,Automatic (S8),45102,4119.444444444444,25.0,0.0,0.0,28.439900000000005,0.0,0.0,0.0,22.6477,28.956499999999995,40.49,0.0,60000.0,6481245.783901836,8049445.783901836,61323688.974858515,69373134.75876035
Discovery,Land Rover,2023,ICE,4.0,2.0,Automatic (S8),45103,5250.0,21.0,0.0,0.0,22.2428,0.0,0.0,0.0,19.3318,24.3528,33.7329,0.0,60000.0,8259982.826415689,9828182.82641569,75680091.33968857,85508274.16610426
Discovery MHEV,Land Rover,2023,HEV,6.0,3.0,Automatic (S8),45104,5250.0,22.0,0.0,0.0,25.217,0.0,0.0,0.0,19.4394,24.4829,35.5392,0.0,60000.0,7368219.555995338,8936419.555995336,70044408.91573977,78980828.4717351
Defender 110,Land Rover,2023,ICE,4.0,2.0,Automatic (S8),45105,5675.0,18.0,0.0,0.0,20.1674,0.0,0.0,0.0,16.6221,20.6902,29.455400000000004,0.0,60000.0,8928648.102839816,10496848.102839818,85300383.39943188,95797231.5022717
Defender 110 MHEV,Land Rover,2023,HEV,6.0,3.0,Automatic (S8),45106,5675.0,20.0,0.0,0.0,22.6469,0.0,0.0,0.0,18.2647,22.9121,31.552100000000003,0.0,60000.0,7964694.472433054,9532894.472433055,76624275.5107519,86157169.98318496
Defender 90 MHEV,Land Rover,2023,HEV,6.0,3.0,Automatic (S8),45107,5675.0,20.0,0.0,0.0,22.6469,0.0,0.0,0.0,18.2647,22.9121,31.552100000000003,0.0,60000.0,7964694.472433054,9532894.472433055,76624275.5107519,86157169.98318496
Defender 90,Land Rover,2023,ICE,8.0,5.0,Automatic (S8),45108,5675.0,16.0,0.0,0.0,19.0116,0.0,0.0,0.0,14.8182,18.3475,26.2277,0.0,60000.0,8928648.102839816,10496848.102839818,92510352.08475307,103007200.18759288
Defender 110,Land Rover,2023,ICE,8.0,5.0,Automatic (S8),45109,5675.0,16.0,0.0,0.0,18.6021,0.0,0.0,0.0,14.2845,17.6252,25.5562,0.0,60000.0,8928648.102839816,10496848.102839818,95094716.54667276,105591564.64951257
Discovery Sport,Land Rover,2023,ICE,4.0,2.0,Automatic (S9),45158,5250.0,20.0,0.0,0.0,23.409,0.0,0.0,0.0,18.5255,23.2538,34.2146,0.0,60000.0,8259982.826415689,9828182.82641569,74686165.59236355,84514348.41877924
F-Type R AWD Coupe,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45180,4375.0,18.0,0.0,0.0,24.0365,0.0,0.0,0.0,15.5008,19.2287,33.7286,0.0,60000.0,6883319.022013075,8451519.022013074,78443470.02181432,86894989.04382738
F-Type R AWD Convertible,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45181,4375.0,18.0,0.0,0.0,24.0365,0.0,0.0,0.0,15.5008,19.2287,33.7286,0.0,60000.0,6883319.022013075,8451519.022013074,78443470.02181432,86894989.04382738
F-Type P450 RWD Coupe,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45182,4375.0,19.0,0.0,0.0,24.2996,0.0,0.0,0.0,16.6294,20.7335,34.0972,0.0,60000.0,6883319.022013075,8451519.022013074,75988067.92590755,84439586.94792062
F-Type P450 RWD Convertible,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45183,4375.0,19.0,0.0,0.0,24.2996,0.0,0.0,0.0,16.6294,20.7335,34.0972,0.0,60000.0,6883319.022013075,8451519.022013074,75988067.92590755,84439586.94792062
F-Type P450 AWD R-Dynamic Coupe,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45184,4375.0,18.0,0.0,0.0,24.0365,0.0,0.0,0.0,15.5008,19.2287,33.7286,0.0,60000.0,6883319.022013075,8451519.022013074,78443470.02181432,86894989.04382738
F-Type P450 AWD R-Dynamic Convertible,Jaguar,2023,ICE,8.0,5.0,Automatic (S8),45185,4375.0,18.0,0.0,0.0,24.0365,0.0,0.0,0.0,15.5008,19.2287,33.7286,0.0,60000.0,6883319.022013075,8451519.022013074,78443470.02181432,86894989.04382738
G70 AWD,Genesis,2023,ICE,6.0,3.3,Automatic (S8),45186,4211.538461538462,20.0,0.0,0.0,25.7441,0.0,0.0,0.0,17.4478,21.1738,32.5675,0.0,60000.0,6626140.069542259,8194340.069542259,71973872.78452155,80168212.85406381
G70 RWD,Genesis,2023,ICE,6.0,3.3,Automatic (S8),45187,4211.538461538462,21.0,0.0,0.0,26.508,0.0,0.0,0.0,17.5272,21.3151,33.9222,0.0,60000.0,6626140.069542259,8194340.069542259,70513436.81120095,78707776.8807432
G70 RWD,Genesis,2023,ICE,4.0,2.0,Automatic (S8),45188,4211.538461538462,25.0,0.0,0.0,31.3199,0.0,0.0,0.0,21.2129,26.9477,45.0455,0.0,60000.0,6626140.069542259,8194340.069542259,59174316.21018424,67368656.2797265
