Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08,rangeHwyA,RangeHwy,Range,city08,UCity,UHighway,battery_assembly,battery_manufacture,vehicle_manufacture,total_embodied,usage,total
NSX,Acura,2000,ICE,6.0,3.0,Automatic 4-spd,0,3500.0,18.0,0.0,0.0,22.0,0.0,0.0,0.0,15.0,19.2343,30.1499,0.0,60000.0,5506655.217610461,7074855.217610461,106643310.01129209,113718165.22890255
NSX,Acura,2000,ICE,6.0,3.2,Manual 6-spd,1,3500.0,18.0,0.0,0.0,22.0,0.0,0.0,0.0,15.0,19.0,30.4,0.0,60000.0,5506655.217610461,7074855.217610461,106643310.01129209,113718165.22890255
Z3 Coupe,BMW,2000,ICE,6.0,2.8,Automatic 4-spd,2,3281.25,19.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,20.9,33.6,0.0,60000.0,5162489.266509807,6730689.266509807,96413735.9094895,103144425.1759993
Z3 Coupe,BMW,2000,ICE,6.0,2.8,Manual 5-spd,3,3281.25,19.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,21.022,32.887,0.0,60000.0,5162489.266509807,6730689.266509807,96413735.9094895,103144425.1759993
Z3 Roadster,BMW,2000,ICE,6.0,2.5,Automatic 4-spd,4,3281.25,19.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,20.9,33.2,0.0,60000.0,5162489.266509807,6730689.266509807,96413735.9094895,103144425.1759993
Z3 Roadster,BMW,2000,ICE,6.0,2.5,Manual 5-spd,5,3281.25,20.0,0.0,0.0,25.0,0.0,0.0,0.0,17.0,21.9,34.4,0.0,60000.0,5162489.266509807,6730689.266509807,93935812.79032038,100666502.05683018
Z3 Roadster,BMW,2000,ICE,6.0,2.8,Automatic 4-spd,6,3281.25,19.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,21.0,33.0,0.0,60000.0,5162489.266509807,6730689.266509807,96413735.9094895,103144425.1759993
Z3 Roadster,BMW,2000,ICE,6.0,2.8,Manual 5-spd,7,3281.25,19.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,21.022,32.887,0.0,60000.0,5162489.266509807,6730689.266509807,96413735.9094895,103144425.1759993
Z8,BMW,2000,ICE,8.0,4.9,Manual 6-spd,8,3875.0,15.0,0.0,0.0,19.0,0.0,0.0,0.0,12.0,14.9535,26.3337,0.0,60000.0,6096653.990925865,7664853.990925865,126828163.64118966,134493017.63211554
Corvette,Chevrolet,2000,ICE,8.0,5.7,Automatic 4-spd,9,3500.0,18.0,0.0,0.0,23.0,0.0,0.0,0.0,15.0,18.4,32.2,0.0,60000.0,5506655.217610461,7074855.217610461,103619917.20169362,110694772.41930409
Corvette,Chevrolet,2000,ICE,8.0,5.7,Manual 6-spd,10,3500.0,19.0,0.0,0.0,25.0,0.0,0.0,0.0,16.0,20.4,34.9,0.0,60000.0,5506655.217610461,7074855.217610461,95953527.14619838,103028382.36380884
Viper Convertible,Dodge,2000,ICE,10.0,8.0,Manual 6-spd,11,3750.0,14.0,0.0,0.0,19.0,0.0,0.0,0.0,11.0,13.3853,26.7962,0.0,60000.0,5899987.733154065,7468187.733154065,130534181.4099257,138002369.14307976
