,VehicleID_x,Year_x,MFRCode,Make,Model,Range,RangeHwy,atvType,UHighway,UCity,city08U,highway08U,VehicleID_y,Year_y,CurbWeight
0,45105,2023,JLX,land rover,defender 110,0,0.0,ICE,29.4554,20.6902,16.6221,20.1674,236,2023.0,5635.0
1,45109,2023,JLX,land rover,defender 110,0,0.0,ICE,25.5562,17.6252,14.2845,18.6021,236,2023.0,5635.0
2,45158,2023,JLX,land rover,discovery sport,0,0.0,ICE,34.2146,23.2538,18.5255,23.409,238,2023.0,4345.0
3,45203,2023,HNX,honda,odyssey,0,0.0,ICE,39.4719,24.4983,19.4381,27.7882,167,2023.0,4592.0
4,45240,2023,BMX,mini,cooper countryman all4,0,0.0,ICE,44.5918,29.796,23.2419,31.0357,308,2023.0,3643.0
5,45242,2023,BMX,mini,jcw countryman all4,0,0.0,ICE,43.3,30.2,23.5267,30.2233,309,2023.0,3821.7865168539324
6,45252,2023,MTX,mitsubishi,eclipse cross 4wd,0,0.0,ICE,39.8092,31.6654,24.5536,26.383,253,2023.0,3525.4054054054054
7,45262,2023,BMX,mini,john cooper works convertible,0,0.0,ICE,46.9684,31.1554,24.1973,32.5181,310,2023.0,3144.0
8,45266,2023,BMX,bmw,840i xdrive convertible,0,0.0,ICE,40.8062,26.2538,20.713,28.6417,39,2023.0,4266.0
9,45288,2023,FJX,subaru,brz,0,0.0,ICE,37.9587,24.7457,19.6187,26.8141,383,2023.0,2868.0
10,45289,2023,FJX,subaru,brz,0,0.0,ICE,43.6278,27.0287,21.2711,30.4299,383,2023.0,2868.0
11,45293,2023,GMX,chevrolet,corvette,0,0.0,ICE,34.4882,19.1153,15.6411,24.0,69,2023.0,3693.0
12,45294,2023,HYX,hyundai,elantra,0,0.0,ICE,59.2671,38.3118,30.2833,39.723,155,2023.0,2901.3333333333335
13,45295,2023,HYX,hyundai,elantra,0,0.0,ICE,63.3584,44.02,32.8462,42.3327,155,2023.0,2901.3333333333335
14,45296,2023,HYX,hyundai,elantra,0,0.0,ICE,51.9,35.6,28.0454,35.5409,155,2023.0,2901.3333333333335
15,45297,2023,HYX,hyundai,elantra hybrid,0,0.0,HEV,67.4,68.3,49.2526,52.0663,156,2023.0,3069.0
16,45302,2023,KMX,kia,soul,0,0.0,ICE,48.4813,35.9919,27.5306,33.4537,214,2023.0,2912.0
