,alph_index,Material,     VOC,     CO,     NOx ,     PM10,     PM2.5,     SOx,     BC,     OC,     CH4,     N2O,     CO2,"     CO2 (VOC, CO, CO2)",     GHGs
1,b,Virgin Steel,1.5593294803804156,10.997175504713693,1.4059451411226924,0.7651144699607829,0.3657373665083362,5.5678607161918645,0.004488397836276306,0.012773965844144499,2.2423724266932163,0.01171386659557329,1299.5214452355578,1321.6626312425317,1391.683215138581
2,c,Recycled Steel,0.13338089440728584,1.7322577286321883,0.294513028330421,0.3325929969226912,0.1700117356907864,0.33620034604647303,0.0015551286769127169,0.005528240549118875,0.7320408091942128,0.0070401782701792,304.7539289238964,307.8917519993164,331.62853678106273
3,d,Average Steel,1.1828790536835094,8.551237211828175,1.1125270633455326,0.6509288010787266,0.31406579997250306,4.186702378473481,0.003714014778204318,0.010861094366257734,1.8436448796734795,0.01048001287766925,1036.9028209292792,1054.0271191223228,1111.8287800521962
4,e,Steel Credit,0,0,0,0,0,0,0,0,0,0,0,0,0
5,f,Stainless Steel,0.1912368313429186,2.6165836465203274,0.36596035409545274,0.5045984236257826,0.2565837823004999,0.47413621165574643,0.001827590292260123,0.0066481539658634695,0.8794554075960254,0.00845520668809389,375.58381978429577,380.291615543656,408.8076581158672
6,g,Final Iron Product Mix,0.8456651585132509,0.47894913216119345,0.6326182517105903,0.4207487070572479,0.1924774103377057,1.461320034287942,0.0027981306141615383,0.007377872344975225,1.9295145325324694,0.007885481879632348,360.4794596985743,363.86775045981295,423.52002008242016
7,h,Virgin Wrought Aluminum,1.387811658650177,3.9020164189804536,8.771949748655722,2.011906805124283,2.1421625679425476,26.975119550753025,0.039074728531200364,0.09929837847044024,16.90480191983394,0.1492528956577137,9131.561488588522,9142.018575011618,10033.646982114182
8,i,Recycled Wrought Aluminum,0.6169125281711942,1.0271686761330066,1.9044877688290085,0.4408083483802059,0.3284331156586568,2.0951956758811754,0.011261855927548357,0.030626704483269287,4.229812748187664,0.04144351553612885,1636.5083332606089,1640.045166178761,1798.8374099718808
9,j,Average Wrought Aluminum,1.1169109994386974,2.8917699186554158,6.358663880387968,1.4598091430687257,1.504802263813398,18.232097912310586,0.029301043200652906,0.07516655497140257,12.450700486402692,0.11136774182964806,6497.734622884506,6505.759872038263,7139.863277638762
10,k,Wrought Aluminum Credit,0,0,0,0,0,0,0,0,0,0,0,0,0
11,l,Virgin Cast Aluminum,0.4694194648221155,1.673791518473951,3.7656883160008183,0.9904010266224154,0.9119729363982266,12.157719215639888,0.016553126556795566,0.04261534314591786,7.323465629127654,0.06369222316511607,4048.974993325682,4053.0682611391226,4444.975713936064
12,m,Recycled Cast Aluminum,0.1203706252354615,0.37211369067483935,0.6562295902634566,0.27903797932719854,0.09075062692328295,0.8925646268808063,0.003959964997358949,0.011521964275461127,1.5844671063483788,0.014878233589816317,655.3579616295884,656.3178668302518,716.4109007724354
13,n,Average Cast Aluminum,0.19018039315279234,0.6324492562346617,1.278121335410929,0.42131058878624195,0.2549950888182717,3.1455955446326227,0.006478597309246272,0.017740640049552475,2.732266810904234,0.024641031504876267,1334.0813679688072,1335.667945692026,1462.123863405161
14,o,Cast Aluminum Credit,0,0,0,0,0,0,0,0,0,0,0,0,0
15,p,Virgin Lead,0.7067156262035029,0.2578518595502866,0.480819877280539,2.249474956724798,1.107850585550644,13.712301600257849,0.003034798711800862,0.004650252548040561,3.154334163359169,0.004400915732034973,233.8097710234921,236.41756383778633,331.6181719007351
16,q,Recycled Lead,0.016232554280140348,0.05342916913766435,0.2631502003819837,0.02315331535301837,0.007696732165865861,2.2806869173195747,0.00029888963639298474,0.0005871361696207956,0.30861420881423823,0.001842366821410675,210.35675735447788,210.49130893824827,220.19097850315768
17,r,Average Lead,0.20266298369944827,0.10862329554907238,0.32192101314459365,0.6242601585233989,0.304738272579756,5.367222881712909,0.0010375850867531118,0.0016841775917941324,1.0769585965413695,0.0025331750272792357,216.68907104511172,217.49139776112355,250.27632072050358
18,s,Virgin Nickel,3.8973003416141347,9.212395790726607,9.919628387161357,1.13052657260316,0.7830359706624177,24.522230461160405,0.06747990557776481,0.15720427171129903,41.197763080759906,0.3680706884833954,8313.642139454822,8340.265347476374,9668.441985238986
19,t,Recycled Nickel,0.10096163039456431,0.8456365369766617,0.8674513062073974,0.06512580959013871,0.051678961944760744,0.3551048134212253,0.020019717204272557,0.014650344093182353,1.6617693310323047,0.015275890765462317,635.2155304479667,636.8590516112787,690.5500958550125
20,u,Average Nickel,2.226911308677524,5.531021719076632,5.936670471541615,0.6617502368774306,0.4612388868266487,13.888695176155165,0.046597422693428224,0.0944805435593277,23.801925830879764,0.21284097748750486,4935.134431491806,4950.766577295732,5718.169553910038
21,v,Virgin Nickel Hydroxide,2.5021886061261585,5.9688513962708445,6.492611506914719,0.7372174622940909,0.5098804920346539,15.633479849937205,0.04407781820119046,0.10404898229632313,26.680967800104654,0.23879136635694181,5492.73153874634,5509.909650191478,6370.192533650042
22,w,Recycled Nickel Hydroxide,0.015570062661664075,0.1304120567215811,0.13377627858036945,0.010043547556108567,0.00796980667432842,0.054763420269852175,0.0030873932019633873,0.002259341243344961,0.256274116337939,0.002355811564269166,97.9614292487645,98.21488917605107,106.49499439996714
23,x,Average Nickel Hydroxide,1.408076447001781,3.399938086869169,3.6947240064476055,0.4172609398093787,0.2890397904761107,8.77884462088357,0.02604203120153055,0.05926154023301274,15.0541025792473,0.13475972224816588,3119.0326905674074,3128.76395534469,3614.165616380009
