ZIP,State,Subregion1,Subregion2,Subregion3
2,AK,AKMS,,
6,AK,AKGD,,
7,AK,AKMS,,
10,AK,AKMS,,
11,AK,AKGD,,
12,CA,CAMX,,
14,AZ,AZNM,,
15,AZ,AZNM,,
16,CA,CAMX,,
17,CA,CAMX,,
18,CA,CAMX,,
19,CA,CAMX,NWPP,
20,CA,CAMX,,
22,CA,CAMX,,
26,CA,CAMX,,
27,CO,RMPA,,
28,CA,CAMX,,
29,CA,CAMX,,
31,CA,CAMX,,
32,CA,CAMX,,
33,CA,CAMX,NWPP,
34,CA,NWPP,,
35,CA,NWPP,,
37,CA,CAMX,,
38,CA,CAMX,,
39,CA,CAMX,,
40,CA,CAMX,,
41,FL,FRCC,,
42,FL,FRCC,,
43,FL,FRCC,,
44,CA,CAMX,,
45,FL,FRCC,,
47,CA,CAMX,,
48,CA,CAMX,,
49,CA,NWPP,,
50,CA,CAMX,,
51,CA,CAMX,,
52,CA,CAMX,,
53,FL,FRCC,,
54,CA,CAMX,,
55,CA,CAMX,,
56,ID,NWPP,,
58,CA,CAMX,,
59,MN,MROW,,
60,MN,MROW,,
63,MT,NWPP,,
64,NM,AZNM,,
65,CA,CAMX,,
66,NM,AZNM,,
67,OK,SPSO,,
68,OR,NWPP,,
69,OR,NWPP,,
70,OR,NWPP,,
71,UT,NWPP,,
72,WA,NWPP,,
73,WA,NWPP,,
74,WA,NWPP,,
76,WA,NWPP,,
77,OR,NWPP,,
84,NC,SRVC,,
87,FL,FRCC,,
97,FL,FRCC,,
98,FL,FRCC,,
100,UT,NWPP,,
116,LA,SRMV,,
119,LA,SRMV,,
120,LA,SRMV,,
121,LA,SRMV,,
127,ME,NEWE,,
130,ME,NEWE,,
134,ME,NEWE,,
135,ME,NEWE,,
137,ME,NEWE,,
138,ME,NEWE,,
139,ME,NEWE,,
141,ME,NEWE,,
151,ME,NEWE,,
152,MD,RFCE,,
158,MA,NEWE,,
160,MN,MROW,,
161,MN,MROW,,
164,MN,MROW,,
165,MN,MROW,,
166,MN,MROW,,
168,NH,NEWE,,
172,NH,NEWE,,
173,NH,NEWE,,
174,NH,NEWE,,
176,NH,NEWE,,
177,NH,NEWE,,
179,NH,NEWE,,
180,NH,NEWE,,
181,NH,NEWE,,
182,NH,NEWE,,
183,NH,NEWE,,
184,NH,NEWE,,
185,NH,NEWE,,
188,TX,ERCT,,
195,WA,NWPP,,
197,AZ,AZNM,,
198,AK,AKGD,,
199,AZ,AZNM,,
501,NY,NYLI,,
501,NY,NYLI,,
544,NY,NYLI,,
544,NY,NYLI,,
601,PR,PRMS,,
602,PR,PRMS,,
603,PR,PRMS,,
604,PR,PRMS,,
605,PR,PRMS,,
606,PR,PRMS,,
610,PR,PRMS,,
611,PR,PRMS,,
612,PR,PRMS,,
613,PR,PRMS,,
614,PR,PRMS,,
616,PR,PRMS,,
617,PR,PRMS,,
622,PR,PRMS,,
623,PR,PRMS,,
624,PR,PRMS,,
627,PR,PRMS,,
631,PR,PRMS,,
637,PR,PRMS,,
638,PR,PRMS,,
641,PR,PRMS,,
646,PR,PRMS,,
647,PR,PRMS,,
650,PR,PRMS,,
652,PR,PRMS,,
653,PR,PRMS,,
656,PR,PRMS,,
659,PR,PRMS,,
660,PR,PRMS,,
662,PR,PRMS,,
664,PR,PRMS,,
667,PR,PRMS,,
669,PR,PRMS,,
670,PR,PRMS,,
674,PR,PRMS,,
676,PR,PRMS,,
677,PR,PRMS,,
678,PR,PRMS,,
680,PR,PRMS,,
681,PR,PRMS,,
682,PR,PRMS,,
683,PR,PRMS,,
685,PR,PRMS,,
687,PR,PRMS,,
688,PR,PRMS,,
690,PR,PRMS,,
692,PR,PRMS,,
693,PR,PRMS,,
694,PR,PRMS,,
698,PR,PRMS,,
703,PR,PRMS,,
704,PR,PRMS,,
705,PR,PRMS,,
707,PR,PRMS,,
714,PR,PRMS,,
715,PR,PRMS,,
716,PR,PRMS,,
717,PR,PRMS,,
718,PR,PRMS,,
719,PR,PRMS,,
720,PR,PRMS,,
721,PR,PRMS,,
723,PR,PRMS,,
725,PR,PRMS,,
726,PR,PRMS,,
727,PR,PRMS,,
728,PR,PRMS,,
729,PR,PRMS,,
730,PR,PRMS,,
731,PR,PRMS,,
732,PR,PRMS,,
733,PR,PRMS,,
734,PR,PRMS,,
735,PR,PRMS,,
736,PR,PRMS,,
737,PR,PRMS,,
738,PR,PRMS,,
739,PR,PRMS,,
740,PR,PRMS,,
741,PR,PRMS,,
742,PR,PRMS,,
744,PR,PRMS,,
745,PR,PRMS,,
751,PR,PRMS,,
754,PR,PRMS,,
757,PR,PRMS,,
765,PR,PRMS,,
766,PR,PRMS,,
767,PR,PRMS,,
769,PR,PRMS,,
771,PR,PRMS,,
772,PR,PRMS,,
773,PR,PRMS,,
775,PR,PRMS,,
777,PR,PRMS,,
778,PR,PRMS,,
780,PR,PRMS,,
782,PR,PRMS,,
783,PR,PRMS,,
784,PR,PRMS,,
785,PR,PRMS,,
786,PR,PRMS,,
791,PR,PRMS,,
792,PR,PRMS,,
794,PR,PRMS,,
795,PR,PRMS,,
901,PR,PRMS,,
902,PR,PRMS,,
906,PR,PRMS,,
907,PR,PRMS,,
908,PR,PRMS,,
909,PR,PRMS,,
910,PR,PRMS,,
911,PR,PRMS,,
912,PR,PRMS,,
913,PR,PRMS,,
914,PR,PRMS,,
915,PR,PRMS,,
916,PR,PRMS,,
917,PR,PRMS,,
918,PR,PRMS,,
919,PR,PRMS,,
920,PR,PRMS,,
921,PR,PRMS,,
922,PR,PRMS,,
923,PR,PRMS,,
924,PR,PRMS,,
925,PR,PRMS,,
926,PR,PRMS,,
927,PR,PRMS,,
928,PR,PRMS,,
929,PR,PRMS,,
930,PR,PRMS,,
931,PR,PRMS,,
933,PR,PRMS,,
934,PR,PRMS,,
935,PR,PRMS,,
936,PR,PRMS,,
937,PR,PRMS,,
939,PR,PRMS,,
940,PR,PRMS,,
949,PR,PRMS,,
950,PR,PRMS,,
951,PR,PRMS,,
952,PR,PRMS,,
953,PR,PRMS,,
954,PR,PRMS,,
955,PR,PRMS,,
956,PR,PRMS,,
957,PR,PRMS,,
958,PR,PRMS,,
959,PR,PRMS,,
960,PR,PRMS,,
961,PR,PRMS,,
962,PR,PRMS,,
963,PR,PRMS,,
965,PR,PRMS,,
966,PR,PRMS,,
968,PR,PRMS,,
969,PR,PRMS,,
970,PR,PRMS,,
971,PR,PRMS,,
975,PR,PRMS,,
976,PR,PRMS,,
977,PR,PRMS,,
978,PR,PRMS,,
979,PR,PRMS,,
981,PR,PRMS,,
982,PR,PRMS,,
983,PR,PRMS,,
984,PR,PRMS,,
985,PR,PRMS,,
986,PR,PRMS,,
987,PR,PRMS,,
988,PR,PRMS,,
1001,MA,NEWE,,
1002,MA,NEWE,,
1002,MA,NEWE,,
1003,MA,NEWE,,
1004,MA,NEWE,,
1005,MA,NEWE,,
1007,MA,NEWE,,
1008,MA,NEWE,,
1008,MA,NEWE,,
1009,MA,NEWE,,
1010,MA,NEWE,,
1011,MA,NEWE,,
1011,MA,NEWE,,
1012,MA,NEWE,,
1013,MA,NEWE,,
1013,MA,NEWE,,
1014,MA,NEWE,,
1014,MA,NEWE,,
1020,MA,NEWE,,
1020,MA,NEWE,,
1021,MA,NEWE,,
1021,MA,NEWE,,
1022,MA,NEWE,,
1022,MA,NEWE,,
1026,MA,NEWE,,
1027,MA,NEWE,,
1027,MA,NEWE,,
1028,MA,NEWE,,
1029,MA,NEWE,,
1030,MA,NEWE,,
1030,MA,NEWE,,
1031,MA,NEWE,,
1032,MA,NEWE,,
1033,MA,NEWE,,
1033,MA,NEWE,,
1034,MA,NEWE,,
1034,MA,NEWE,,
1035,MA,NEWE,,
1035,MA,NEWE,,
1036,MA,NEWE,,
1037,MA,NEWE,,
1038,MA,NEWE,,
1039,MA,NEWE,,
1040,MA,NEWE,,
1040,MA,NEWE,,
1041,MA,NEWE,,
1041,MA,NEWE,,
1050,MA,NEWE,,
1050,MA,NEWE,,
1053,MA,NEWE,,
1054,MA,NEWE,,
1056,MA,NEWE,,
1056,MA,NEWE,,
1057,MA,NEWE,,
1059,MA,NEWE,,
1060,MA,NEWE,,
1061,MA,NEWE,,
1062,MA,NEWE,,
1062,MA,NEWE,,
1063,MA,NEWE,,
1066,MA,NEWE,,
1068,MA,NEWE,,
1069,MA,NEWE,,
1070,MA,NEWE,,
1071,MA,NEWE,,
1071,MA,NEWE,,
1072,MA,NEWE,,
1073,MA,NEWE,,
1073,MA,NEWE,,
