,county_geoid,county,counts,pop_est,count_percap,count_per_1000,public_level2,public_dc_fast,total_public,total_public_1000ev,total_public_10000pop,median_income
19,6001,Alameda,192172,1679844,0.114398718,114.398718,2334,38,2372,12.3431093,14.34657028,60757
45,6003,Alpine,38,1198,0.031719533,31.719533,0,0,0,0,0,34395
44,6005,Amador,768,40541,0.018943785,18.943785,0,0,0,0,0,44292
43,6007,Butte,3423,210083,0.01629356,16.29356,46,1,47,13.73064563,2.284811241,35746
46,6009,Calaveras,999,45327,0.022039844,22.039844,0,0,0,0,0,43184
57,6011,Colusa,125,21853,0.005720038,5.720038,0,0,0,0,0,36482
33,6013,Contra Costa,102886,1165562,0.088271581,88.271581,608,4,612,5.948331163,5.285004144,57409
49,6015,Del Norte,375,27709,0.013533509,13.533509,1,2,3,8,1.804467862,34746
38,6017,El Dorado,10749,191114,0.056243917,56.243917,4,1,5,0.46515955,0.313948743,51895
21,6019,Fresno,22285,1008966,0.022086968,22.086968,412,13,425,19.07112407,4.341077896,33034
39,6021,Glenn,213,28893,0.007372028,7.372028,0,0,0,0,0,35384
20,6023,Humboldt,6406,136351,0.046981687,46.981687,10,0,10,1.561036528,0.733401295,33642
7,6025,Imperial,945,179489,0.005264947,5.264947,12,1,13,13.75661376,0.779992089,26740
58,6027,Inyo,243,19023,0.01277401,12.77401,5,1,6,24.69135802,3.679756085,41501
6,6029,Kern,11954,909997,0.013136307,13.136307,248,2,250,20.91350176,2.769239899,33025
42,6031,Kings,1378,152627,0.009028547,9.028547,22,0,22,15.96516691,1.441422553,34797
37,6033,Lake,1498,68174,0.021973186,21.973186,0,0,0,0,0,33280
54,6035,Lassen,68,32719,0.002078303,2.078303,0,0,0,0,0,45101
15,6037,Los Angeles,642677,9989165,0.06433741,64.33741,16498,246,16744,26.053523,17.00842863,38371
40,6039,Madera,2158,156620,0.013778572,13.778572,18,10,28,12.97497683,2.426254629,32927
36,6041,Marin,40179,261776,0.153486187,153.486187,382,0,382,9.507454143,14.59262881,74077
41,6043,Mariposa,289,17124,0.016876898,16.876898,0,0,0,0,0,37251
52,6045,Mendocino,4026,91354,0.04407032,44.07032,20,0,20,4.967709886,2.189285636,35131
53,6047,Merced,3194,281726,0.011337257,11.337257,31,3,34,10.6449593,1.313332813,32811
56,6049,Modoc,14,8658,0.001617002,1.617002,0,0,0,0,0,31193
55,6051,Mono,191,13206,0.014463123,14.463123,7,0,7,36.64921466,5.30062093,38107
48,6053,Monterey,12839,438500,0.029279361,29.279361,44,1,45,3.504945868,1.049030787,40922
51,6055,Napa,9499,137608,0.069029417,69.029417,24,0,24,2.526581745,1.744084646,51525
23,6057,Nevada,3869,102199,0.037857513,37.857513,43,0,43,11.11398294,4.207477568,42138
16,6059,Orange,303324,3184101,0.095262054,95.262054,1853,22,1875,6.181508882,5.957725587,45719
30,6061,Placer,22561,405741,0.055604437,55.604437,64,4,68,3.014050796,1.774531043,57945
50,6063,Plumas,159,19769,0.008042895,8.042895,0,0,0,0,0,38241
32,6065,Riverside,81505,2422764,0.033641329,33.641329,142,11,153,1.877185449,0.676912815,36421
5,6067,Sacramento,58327,1586241,0.036770579,36.770579,386,19,405,6.943611021,2.672986009,42776
25,6069,San Benito,2658,64507,0.04120483,41.20483,10,0,10,3.762227239,1.550219356,47341
26,6071,San Bernardino,61962,2182740,0.028387256,28.387256,495,30,525,8.472935025,2.54267572,35128
18,6073,San Diego,197012,3297252,0.059750362,59.750362,1040,29,1069,5.426065417,3.330045747,44267
29,6075,San Francisco,62911,870014,0.072310331,72.310331,697,27,724,11.50832128,8.632045002,72289
27,6077,San Joaquin,19665,780517,0.025194839,25.194839,276,13,289,14.69616069,3.869230267,39499
28,6079,San Luis Obispo,14076,282231,0.049874039,49.874039,145,0,145,10.30122194,5.137635483,47557
17,6081,San Mateo,102569,762453,0.134525013,134.525013,2029,10,2039,19.87930076,26.87378763,70367
24,6083,Santa Barbara,18988,448096,0.042374848,42.374848,112,2,114,6.003791869,2.588730986,41532
8,6085,Santa Clara,332645,1930598,0.172301536,172.301536,11927,43,11970,35.9843076,62.22424347,70969
22,6087,Santa Cruz,23148,270353,0.085621391,85.621391,77,0,77,3.326421289,2.848128188,45388
13,6089,Shasta,2562,181893,0.014085204,14.085204,48,4,52,20.29664325,3.078733101,36372
59,6091,Sierra,25,3228,0.007744734,7.744734,0,0,0,0,0,41265
12,6093,Siskiyou,391,43962,0.008894045,8.894045,0,0,0,0,0,32184
14,6095,Solano,19588,453274,0.04321448,43.21448,148,0,148,7.555646314,3.265133231,48417
4,6097,Sonoma,43164,488345,0.088388332,88.388332,208,19,227,5.25901214,5.037422314,50303
1,6099,Stanislaus,9226,552710,0.016692298,16.692298,40,1,41,4.443962714,0.759892168,36697
35,6101,Sutter,1098,99480,0.011037394,11.037394,5,1,6,5.464480874,0.703659027,35550
3,6103,Tehama,477,65615,0.007269679,7.269679,46,1,47,98.53249476,7.315400442,32912
2,6105,Trinity,169,16088,0.010504724,10.504724,0,0,0,0,0,31292
34,6107,Tulare,4731,473736,0.009986575,9.986575,64,23,87,18.38934686,2.321968354,30746
31,6109,Tuolumne,811,55516,0.014608401,14.608401,12,0,12,14.79654747,2.161539016,39726
9,6111,Ventura,51418,842921,0.060999785,60.999785,312,6,318,6.184604613,3.843776582,44986
10,6113,Yolo,11367,216255,0.052562947,52.562947,124,4,128,11.26066684,6.103905112,44231
11,6115,Yuba,942,81932,0.011497339,11.497339,39,0,39,41.40127389,4.760044915,36246
47,Unknown,Unknown,19504,39499738,0.000493775,0.493775,,,0,0,0,
