County,GEOID
Alameda,06001
Alpine,06003
Amador,06005
Butte,06007
Calaveras,06009
Colusa,06011
Contra Costa,06013
Del Norte,06015
El Dorado,06017
Fresno,06019
Glenn,06021
Humboldt,06023
Imperial,06025
Inyo,06027
Kern,06029
Kings,06031
Lake,06033
Lassen,06035
Los Angeles,06037
Madera,06039
Marin,06041
Mariposa,06043
Mendocino,06045
Merced,06047
Modoc,06049
Mono,06051
Monterey,06053
Napa,06055
Nevada,06057
Orange,06059
Placer,06061
Plumas,06063
Riverside,06065
Sacramento,06067
San Benito,06069
San Bernardino,06071
San Diego,06073
San Francisco,06075
San Joaquin,06077
San Luis Obispo,06079
San Mateo,06081
Santa Barbara,06083
Santa Clara,06085
Santa Cruz,06087
Shasta,06089
Sierra,06091
Siskiyou,06093
Solano,06095
Sonoma,06097
Stanislaus,06099
Sutter,06101
Tehama,06103
Trinity,06105
Tulare,06107
Tuolumne,06109
Unknown,06999
Ventura,06111
Yolo,06113
Yuba,06115
