California County,Attribute,Value
Alameda ,White,31.41366684
Alameda ,Hispanic,22.39421515
Alameda ,AfricanAmerican,10.33145722
Alameda ,AsianAmerican,30.73958093
Alameda ,NativeAmerican,0.314477382
Alameda ,Other/Multiple,4.806037674
Alpine ,White,53.03
Alpine ,Hispanic,12.51
Alpine ,AfricanAmerican,0.87
Alpine ,AsianAmerican,0.96
Alpine ,NativeAmerican,30.22
Alpine ,Other/Multiple,2.41
Amador ,White,78.1575214
Amador ,Hispanic,13.89438133
Amador ,AfricanAmerican,2.209418668
Amador ,AsianAmerican,1.379486325
Amador ,NativeAmerican,0.648781649
Amador ,Other/Multiple,3.717681699
Butte ,White,71.97690192
Butte ,Hispanic,16.34844051
Butte ,AfricanAmerican,1.479543347
Butte ,AsianAmerican,4.664221471
Butte ,NativeAmerican,0.752398668
Butte ,Other/Multiple,4.778192076
Calaveras ,White,80.93759854
Calaveras ,Hispanic,12.06054577
Calaveras ,AfricanAmerican,0.693202092
Calaveras ,AsianAmerican,1.54459507
Calaveras ,NativeAmerican,0.405358132
Calaveras ,Other/Multiple,4.361915235
Colusa ,White,35.31061434
Colusa ,Hispanic,59.37685979
Colusa ,AfricanAmerican,1.192948168
Colusa ,AsianAmerican,1.450122588
Colusa ,NativeAmerican,0.666783817
Colusa ,Other/Multiple,2.003431994
Contra Costa,White,43.82512086
Contra Costa,Hispanic,25.59002438
Contra Costa,AfricanAmerican,8.394854844
Contra Costa,AsianAmerican,16.94309616
Contra Costa,NativeAmerican,0.199393154
Contra Costa,Other/Multiple,5.04766392
Del Norte,White,61.93129478
Del Norte,Hispanic,19.74407892
Del Norte,AfricanAmerican,3.270384434
Del Norte,AsianAmerican,3.294253864
Del Norte,NativeAmerican,7.066530642
Del Norte,Other/Multiple,4.691372977
El Dorado,White,77.82405201
El Dorado,Hispanic,12.83293992
El Dorado,AfricanAmerican,0.756253136
El Dorado,AsianAmerican,4.751129172
El Dorado,NativeAmerican,0.546900028
El Dorado,Other/Multiple,3.28879234
Fresno ,White,29.42062575
Fresno ,Hispanic,53.05804562
Fresno ,AfricanAmerican,4.490374598
Fresno ,AsianAmerican,10.22735315
